timestamp,date,time,weekday,rank,summary,distance_km,duration_min,traffic_min,delay_min
2026-05-07T14:36:57.508442,2026-05-07,14:36,Thursday,2,Bermuda Rd,14.49,21.6,23.1,1.5
2026-05-07T14:36:57.508442,2026-05-07,14:36,Thursday,3,S Eastern Ave,13.57,23.1,24.8,1.8
2026-05-07T14:41:58.006804,2026-05-07,14:41,Thursday,1,S Maryland Pkwy,13.1,19.8,21.8,2.0
2026-05-07T14:41:58.006804,2026-05-07,14:41,Thursday,2,S Eastern Ave,13.57,23.1,24.9,1.8
2026-05-07T14:41:58.006804,2026-05-07,14:41,Thursday,3,I-15 S,27.18,24.6,27.1,2.5
2026-05-07T14:46:58.498248,2026-05-07,14:46,Thursday,1,S Maryland Pkwy,13.1,19.8,21.7,1.9
2026-05-07T14:46:58.498248,2026-05-07,14:46,Thursday,2,Bermuda Rd,14.49,21.6,23.2,1.7
2026-05-07T14:46:58.498248,2026-05-07,14:46,Thursday,3,S Eastern Ave,13.57,23.1,25.0,2.0
2026-05-07T14:51:59.016119,2026-05-07,14:51,Thursday,1,S Maryland Pkwy,13.1,19.8,21.8,2.0
2026-05-07T14:51:59.016119,2026-05-07,14:51,Thursday,2,Bermuda Rd,14.49,21.6,23.3,1.8
2026-05-07T14:51:59.016119,2026-05-07,14:51,Thursday,3,S Eastern Ave,13.57,23.1,24.8,1.8
2026-05-07T14:56:59.617273,2026-05-07,14:56,Thursday,1,S Maryland Pkwy,13.1,19.8,22.0,2.1
2026-05-07T14:56:59.617273,2026-05-07,14:56,Thursday,2,Bermuda Rd,14.49,21.6,23.4,1.8
2026-05-07T14:56:59.617273,2026-05-07,14:56,Thursday,3,S Eastern Ave,13.57,23.1,24.7,1.6
2026-05-07T15:02:00.731073,2026-05-07,15:02,Thursday,1,S Maryland Pkwy,13.1,19.8,22.4,2.6
2026-05-07T15:02:00.731073,2026-05-07,15:02,Thursday,2,Bermuda Rd,14.49,21.6,23.5,1.9
2026-05-07T15:02:00.731073,2026-05-07,15:02,Thursday,3,S Eastern Ave,13.57,23.1,24.9,1.8
2026-05-07T15:42:36.894541,2026-05-07,15:42,Thursday,1,Bermuda Rd,14.49,21.6,22.7,1.2
2026-05-07T15:42:36.894541,2026-05-07,15:42,Thursday,2,S Maryland Pkwy,13.1,19.8,22.8,3.0
2026-05-07T15:42:36.894541,2026-05-07,15:42,Thursday,3,S Eastern Ave,13.57,23.1,24.8,1.8
2026-05-07T15:47:56.830498,2026-05-07,15:47,Thursday,1,S Maryland Pkwy,13.1,19.8,22.6,2.7
2026-05-07T15:47:56.830498,2026-05-07,15:47,Thursday,2,Bermuda Rd,14.49,21.6,22.8,1.3
2026-05-07T15:47:56.830498,2026-05-07,15:47,Thursday,3,S Eastern Ave,13.07,23.1,25.8,2.6
2026-05-07T15:52:57.312606,2026-05-07,15:52,Thursday,1,S Maryland Pkwy,13.1,19.8,22.8,3.0
2026-05-07T15:52:57.312606,2026-05-07,15:52,Thursday,2,Bermuda Rd,14.49,21.6,23.1,1.6
2026-05-07T15:52:57.312606,2026-05-07,15:52,Thursday,3,S Eastern Ave,13.57,23.1,25.1,2.0
2026-05-07T15:57:58.045219,2026-05-07,15:57,Thursday,1,S Maryland Pkwy,13.1,19.8,22.6,2.8
2026-05-07T15:57:58.045219,2026-05-07,15:57,Thursday,2,S Spencer St,12.65,19.9,24.4,4.5
2026-05-07T15:57:58.045219,2026-05-07,15:57,Thursday,3,St Rose Pkwy,13.48,22.1,24.7,2.7
2026-05-07T16:02:58.621723,2026-05-07,16:02,Thursday,1,S Maryland Pkwy,13.1,19.8,22.5,2.7
2026-05-07T16:02:58.621723,2026-05-07,16:02,Thursday,2,Bermuda Rd,14.49,21.6,23.0,1.4
2026-05-07T16:02:58.621723,2026-05-07,16:02,Thursday,3,S Eastern Ave,13.07,23.1,25.4,2.3
2026-05-07T16:07:59.195275,2026-05-07,16:07,Thursday,1,S Maryland Pkwy,13.1,19.8,22.4,2.6
2026-05-07T16:07:59.195275,2026-05-07,16:07,Thursday,2,Bermuda Rd,14.49,21.6,23.0,1.5
2026-05-07T16:07:59.195275,2026-05-07,16:07,Thursday,3,S Eastern Ave,13.07,23.1,25.4,2.2
2026-05-07T16:12:59.737422,2026-05-07,16:12,Thursday,1,S Maryland Pkwy,13.1,19.8,22.2,2.4
2026-05-07T16:12:59.737422,2026-05-07,16:12,Thursday,2,Bermuda Rd,14.49,21.6,23.2,1.6
2026-05-07T16:12:59.737422,2026-05-07,16:12,Thursday,3,S Eastern Ave,13.57,23.1,25.1,2.1
2026-05-07T16:18:00.386867,2026-05-07,16:18,Thursday,1,S Maryland Pkwy,13.1,19.8,21.9,2.0
2026-05-07T16:18:00.386867,2026-05-07,16:18,Thursday,2,Bermuda Rd,14.49,21.6,23.1,1.5
2026-05-07T16:18:00.386867,2026-05-07,16:18,Thursday,3,S Eastern Ave,13.57,23.1,24.5,1.4
2026-05-07T16:23:00.865161,2026-05-07,16:23,Thursday,1,S Maryland Pkwy,13.1,19.8,21.7,1.9
2026-05-07T16:23:00.865161,2026-05-07,16:23,Thursday,2,Bermuda Rd,14.49,21.6,23.0,1.4
2026-05-07T16:23:00.865161,2026-05-07,16:23,Thursday,3,S Eastern Ave,13.57,23.1,25.1,2.1
2026-05-08T07:02:45.425021,2026-05-08,07:02,Friday,1,S Maryland Pkwy,13.1,19.8,19.8,-0.1
2026-05-08T07:02:45.425021,2026-05-08,07:02,Friday,2,S Spencer St,12.65,19.9,20.4,0.5
2026-05-08T07:02:45.425021,2026-05-08,07:02,Friday,3,S Eastern Ave,13.07,23.1,21.3,-1.9
2026-05-08T07:07:46.110728,2026-05-08,07:07,Friday,1,S Maryland Pkwy,13.1,19.8,19.6,-0.2
2026-05-08T07:07:46.110728,2026-05-08,07:07,Friday,2,S Spencer St,12.65,19.9,19.7,-0.2
2026-05-08T07:07:46.110728,2026-05-08,07:07,Friday,3,S Eastern Ave,13.07,23.1,21.2,-1.9
2026-05-08T07:12:46.645169,2026-05-08,07:12,Friday,1,S Maryland Pkwy,13.1,19.8,19.6,-0.2
